District,County,Subcounty,Subcounty Population
Masaka,Bukoto,Kyanamukaaka,63042
Masaka,Bukoto,Kyesiiga,49664
Masaka,Bukoto,Mukungwe,88920
Masaka,Masaka Municipality,Katwe-Butego Division,50706
Masaka,Masaka Municipality,Kimaanya-Kyabakuza Division,68520
Masaka,Masaka Municipality,Nyendo-Ssenyange Division,87228
Masindi,Bujenje,Budongo,51935
Masindi,Bujenje,Bwijanga,52084
Masindi,Buruli,Kimengo,14008
Masindi,Buruli,Miirya,20246
Masindi,Buruli,Pakanyi,58402
Masindi,Masindi Municipality,Central Division,40826
Masindi,Masindi Municipality,Karujubu Division,27824
Masindi,Masindi Municipality,Kigulya Division,12747
Masindi,Masindi Municipality,Nyangahya Division,13041
Mayuge,Bunya,Baitambogwe,37949
Mayuge,Bunya,Bukabooli,43263
Mayuge,Bunya,Bukatube,40098
Mayuge,Bunya,Busakira,29097
Mayuge,Bunya,Buwaaya,21272
Mayuge,Bunya,Imanyiro,31362
Mayuge,Bunya,Jaguzi,13217
Mayuge,Bunya,Kigandalo,31516
Mayuge,Bunya,Kityerera,46149
Mayuge,Bunya,Magamaga Town Council,16363
Mayuge,Bunya,Malongo,102061
Mayuge,Bunya,Mayuge Town Council,17392
Mayuge,Bunya,Mpungwe,25642
Mayuge,Bunya,Wairasa,17858
Mbale,Bungokho,Bubyangu,21039
Mbale,Bungokho,Budwale,7669
Mbale,Bungokho,Bufumbo,19756
Mbale,Bungokho,Bukasakya,29663
Mbale,Bungokho,Bukiende,21815
Mbale,Bungokho,Bukonde,19102
Mbale,Bungokho,Bumasikye,12268
Mbale,Bungokho,Bumbobi,16352
Mbale,Bungokho,Bungokho,28606
Mbale,Bungokho,Bungokho Mutoto,34372
Mbale,Bungokho,Busano,14833
Mbale,Bungokho,Busiu,22125
Mbale,Bungokho,Busiu Town Council,1981
Mbale,Bungokho,Busoba,20796
Mbale,Bungokho,Lukhonge,9625
Mbale,Bungokho,Lwasso,8962
Mbale,Bungokho,Nabumali Town Council,3659
Mbale,Bungokho,Nakaloke,22801
Mbale,Bungokho,Nakaloke Town Council,28047
Mbale,Bungokho,Namanyonyi,30754
Mbale,Bungokho,Nyondo,8578
Mbale,Bungokho,Wanale,13300
Mbale,Mbale Municipality,Industrial Divison,40395
Mbale,Mbale Municipality,Northern Division,37908
Mbale,Mbale Municipality,Wanale Division,14554
Mbarara,Kashari,Bubaare,22458
Mbarara,Kashari,Bukiro,14559
Mbarara,Kashari,Kagongi,20712
Mbarara,Kashari,Kashare,22911
Mbarara,Kashari,Rubaya,18245
Mbarara,Kashari,Rubindi,23860
Mbarara,Kashari,Rwanyamahembe,26841
Mbarara,Mbarara Municipality,Biharwe Division,21906
Mbarara,Mbarara Municipality,Kakiika Division,21676
Mbarara,Mbarara Municipality,Kakoba Division,55538
Mbarara,Mbarara Municipality,Kamukuzi Division,34888
Mbarara,Mbarara Municipality,Nyakayojo Division,38185
Mbarara,Mbarara Municipality,Nyamitanga Division,23125
Mbarara,Rwampara,Bugamba,34734
Mbarara,Rwampara,Mwizi,34602
Mbarara,Rwampara,Ndeija,31491
Mbarara,Rwampara,Rugando,26898
Mitooma,Ruhinda,Bitereko,27876
Mitooma,Ruhinda,Kabira,11040
Mitooma,Ruhinda,Kanyabwanga,18362
Mitooma,Ruhinda,Kashenshero,12091
Mitooma,Ruhinda,Kashenshero Town Council,5756
Mitooma,Ruhinda,Katenga,17573
Mitooma,Ruhinda,Kiyanga,20116
Mitooma,Ruhinda,Mayanga,11230
Mitooma,Ruhinda,Mitooma,18496
Mitooma,Ruhinda,Mitooma Town Council,5640
Mitooma,Ruhinda,Mutara,23113
Mitooma,Ruhinda,Rurehe,12151
Mityana,Busujju,Bbanda,27194
Mityana,Busujju,Butayunja,21766
Mityana,Busujju,Kakindu,36846
Mityana,Busujju,Maanyi,42572
Mityana,Busujju,Malangala,48318
Mityana,Mityana,Bulera,60050
Mityana,Mityana,Busunju Town Council,14258
Mityana,Mityana,Kalangaalo,61264
Mityana,Mityana,Kikandwa,59398
Mityana,Mityana,Namungo,34322
Mityana,Mityana,Ssekanyonyi,61084
Mityana,Mityana Municipality,Busimbi Division,85458
Mityana,Mityana Municipality,Central Division,45030
Mityana,Mityana Municipality,Ttamu Division,60368
Mpigi,Mawokota,Buwama,101022
Mpigi,Mawokota,Kammengo,77846
Mpigi,Mawokota,Kiringente,45450
Mpigi,Mawokota,Kituntu,44542
Mpigi,Mawokota,Mpigi Town Council,86720
Mpigi,Mawokota,Muduuma,61272
Mpigi,Mawokota,Nkozi,84244
Mubende,Buwekula,Butoloogo,88748
Mubende,Buwekula,Kitenga,122842
Mubende,Buwekula,Kiyuni,33762
Mubende,Buwekula,Madudu,73794
Mubende,Kasambya,Bagezza,23356
Mubende,Kasambya,Kasambya,76432
Mubende,Kasambya,Kibalinga,72352
Mubende,Kasambya,Kigando,81090
Mubende,Kasambya,Nabingoola,72304
Mubende,Kassanda,Bukuya,62218
Mubende,Kassanda,Kalwana,66280
Mubende,Kassanda,Kassanda,87714
Mubende,Kassanda,Kiganda,76454
Mubende,Kassanda,Kitumbi,117422
Mubende,Kassanda,Makokoto,15962
Mubende,Kassanda,Manyogaseka,23468
Mubende,Kassanda,Myanzi,42942
Mubende,Kassanda,Nalutuntu,50628
Mubende,Mubende Municipality,Eastern Division,55408
Mubende,Mubende Municipality,Southern Division,68294
Mubende,Mubende Municipality,Western Division,57226
Mukono,Mukono,Koome Island,37556
Mukono,Mukono,Kyampisi,90148
Mukono,Mukono,Mpatta,34290
Mukono,Mukono,Mpunge,27838
Mukono,Mukono,Nakisunga,96660
Mukono,Mukono,Nama,108536
Mukono,Mukono,Ntenjeru,82208
Mukono,Mukono Municipality,Central Division,139342
Mukono,Mukono Municipality,Goma Division,186078
Mukono,Nakifuma,Kasawo,71854
Mukono,Nakifuma,Kimenyedde,71224
Mukono,Nakifuma,Nabbaale,73384
Mukono,Nakifuma,Nagojje,69006
Mukono,Nakifuma,Ntunda,30132
Mukono,Nakifuma,Seeta Namuganga,75352
Nakaseke,Nakaseke,Butalangu Town Council,8192
Nakaseke,Nakaseke,Kapeeka,55666
Nakaseke,Nakaseke,Kasangombe,43514
Nakaseke,Nakaseke,Kikamulo,36870
Nakaseke,Nakaseke,Kinoni,13370
Nakaseke,Nakaseke,Kinyogoga,23278
Nakaseke,Nakaseke,Kito,19502
Nakaseke,Nakaseke,Kiwoko Town Council,22194
Nakaseke,Nakaseke,Nakaseke,35270
Nakaseke,Nakaseke,Nakaseke Town Council,14496
Nakaseke,Nakaseke,Ngoma,15706
Nakaseke,Nakaseke,Ngoma Town Council,12570
Nakaseke,Nakaseke,Semuto,46808
Nakaseke,Nakaseke,Semuto Town Council,21342
Nakaseke,Nakaseke,Wakyato,25968
Nakasongola,Buruli,Kakooge,40874
Nakasongola,Buruli,Kakooge Town Council,17952
Nakasongola,Buruli,Kalongo,38944
Nakasongola,Buruli,Kalungi,47552
Nakasongola,Buruli,Lwabiyata,31220
Nakasongola,Buruli,Lwampanga,59358
Nakasongola,Buruli,Migeera Town Council,11718
Nakasongola,Buruli,Nabisweera,33044
Nakasongola,Buruli,Nakasongola Town Council,19664
Nakasongola,Buruli,Nakitoma,26636
Nakasongola,Buruli,Wabinyonyi,36628
Namayingo,Bukooli,Banda,43345
Namayingo,Bukooli,Buhemba,27616
Namayingo,Bukooli,Bukana,8538
Namayingo,Bukooli,Buswale,26762
Namayingo,Bukooli,Buyinja,22422
Namayingo,Bukooli,Lolwe,12190
Namayingo,Bukooli,Mutumba,42340
Namayingo,Bukooli,Namayingo Town Council,15740
Namayingo,Bukooli,Sigulu Island,16490
Namisindwa,Namisindwa,Bubutu,23224
Namisindwa,Namisindwa,Bukhabusi,9853
Namisindwa,Namisindwa,Bukhaweka,9119
Namisindwa,Namisindwa,Bukiabi,11262
Namisindwa,Namisindwa,Bukokho,19498
Namisindwa,Namisindwa,Bumbo,16595
Namisindwa,Namisindwa,Bumwoni,19278
Namisindwa,Namisindwa,Bupoto,11273
Namisindwa,Namisindwa,Buwabwala,6911
Namisindwa,Namisindwa,Lwakhakha Town Council,9148
Namisindwa,Namisindwa,Magale,16535
Namisindwa,Namisindwa,Magale Town Council,4047
Namisindwa,Namisindwa,Mukoto,8022
Namisindwa,Namisindwa,Namabya,10478
Namisindwa,Namisindwa,Namboko,10258
Namisindwa,Namisindwa,Namisindwa Town Council,2364
Namisindwa,Namisindwa,Tsekululu,16416
Namutumba,Busiki,Bulange,44683
Namutumba,Busiki,Ivukula,28127
Namutumba,Busiki,Kibaale,16001
Namutumba,Busiki,Magada,48559
Namutumba,Busiki,Nabweyo,16813
Namutumba,Busiki,Namutumba,37485
Namutumba,Busiki,Namutumba Town Council,18679
Namutumba,Busiki,Nangonde,16661
Namutumba,Busiki,Nsinze,25549
Ngora,Ngora,Kapir,31208
Ngora,Ngora,Kobwin,33357
Ngora,Ngora,Mukura,33586
Ngora,Ngora,Ngora,28620
Ngora,Ngora,Ngora Town Council,15148
Ntoroko,Ntoroko,Butungama,9988
Ntoroko,Ntoroko,Bweramule,6262
Ntoroko,Ntoroko,Kanara,7962
Ntoroko,Ntoroko,Kanara Town Council,7988
Ntoroko,Ntoroko,Karugutu,6252
Ntoroko,Ntoroko,Karugutu Town Council,10483
Ntoroko,Ntoroko,Kibuuku Town Council,2174
Ntoroko,Ntoroko,Nombe,8216
Ntoroko,Ntoroko,Rwebisengo,4536
Ntoroko,Ntoroko,Rwebisengo Town Council,3144
Ntungamo,Kajara,Bwongyera,34885
Ntungamo,Kajara,Ihunga,15289
Ntungamo,Kajara,Kagarama Town Council,10874
Ntungamo,Kajara,Kibatsi,19469
Ntungamo,Kajara,Nyabihoko,22005
Ntungamo,Kajara,Rwashamaire Town Council,7708
Ntungamo,Ntungamo Municipality,Central Division,7738
Ntungamo,Ntungamo Municipality,Eastern Division,5748
Ntungamo,Ntungamo Municipality,Western Division,5233
Ntungamo,Ruhaama,Itojo,22275
Ntungamo,Ruhaama,Kitwe Town Council,18039
Ntungamo,Ruhaama,Ntungamo,31169
Ntungamo,Ruhaama,Nyakyera,38419
Ntungamo,Ruhaama,Ruhaama,42885
Ntungamo,Ruhaama,Rukoni East,23602
Ntungamo,Ruhaama,Rukoni West,16858
Ntungamo,Ruhaama,Rweikiniro,36651
Ntungamo,Rushenyi,Kayonza,27616
Ntungamo,Rushenyi,Ngoma,27482
Ntungamo,Rushenyi,Rubaare,25414
Ntungamo,Rushenyi,Rubaare Town Council,13332
Ntungamo,Rushenyi,Rugarama,31150
Pallisa,Agule,Agule,18132
Pallisa,Agule,Akisim,13055
Pallisa,Agule,Apopong,26253
Pallisa,Agule,Chelekura,11738
Pallisa,Agule,Gogonyo,30406
Pallisa,Agule,Kameke,17320
Pallisa,Pallisa,Kamuge,21583
Pallisa,Pallisa,Kasodo,14333
Pallisa,Pallisa,Olok,16273
Pallisa,Pallisa,Pallisa,15400
Pallisa,Pallisa,Pallisa Town Council,33138
Pallisa,Pallisa,Puti-Puti,24288
Rakai,Kakuuto,Kakuuto,78488
Rakai,Kakuuto,Kifamba,29076
Rakai,Kooki,Byakabanda,37510
Rakai,Kooki,Ddwaniro,65628
Rakai,Kooki,Kacheera,47646
Rakai,Kooki,Kagamba,67804
Rakai,Kooki,Kiziba,40882
Rakai,Kooki,Kyalulangira,55644
Rakai,Kooki,Lwamaggwa,88008
Rakai,Kooki,Lwanda,57394
Rakai,Kooki,Rakai Town Council,14782
Rubanda,Rubanda,Bubaare,33820
Rubanda,Rubanda,Bufundi,25591
Rubanda,Rubanda,Hamurwa,26985
Rubanda,Rubanda,Hamurwa Town Council,5100
Rubanda,Rubanda,Ikumba,18555
Rubanda,Rubanda,Muko,37717
Rubanda,Rubanda,Nyamweru,17360
Rubanda,Rubanda,Rubanda Town Council,21569
Rubanda,Rubanda,Ruhija,10199
Rubirizi,Bunyaruguru,Katunguru,3805
Rubirizi,Bunyaruguru,Kichwamba,16641
Rubirizi,Bunyaruguru,Magambo,11557
Rubirizi,Bunyaruguru,Rubiriziri Town Council,8204
Rubirizi,Bunyaruguru,Rutoto,13251
Rubirizi,Bunyaruguru,Ryeru,13241
Rubirizi,Katerera,Katanda,18828
Rubirizi,Katerera,Katerera,10489
Rubirizi,Katerera,Katerera Town Council,9070
Rubirizi,Katerera,Kirugu,11302
Rubirizi,Katerera,Kyabakara,12761
Rukiga,Rukiga,Bukinda,9858
Rukiga,Rukiga,Kamwezi,26538
Rukiga,Rukiga,Kashambya,26058
Rukiga,Rukiga,Mparo Town Council,3714
Rukiga,Rukiga,Muhanga Town Council,11758
Rukiga,Rukiga,Rwamucucu,22800
Rukungiri,Rubabo,Buyanja,31104
Rukungiri,Rubabo,Buyanja Town Council,5031
Rukungiri,Rubabo,Kebisoni,22442
Rukungiri,Rubabo,Kebisoni Town Council,3506
Rukungiri,Rubabo,Nyakishenyi,34133
Rukungiri,Rubabo,Nyarushanje,44883
Rukungiri,Rujumbura,Bugangari,29942
Rukungiri,Rujumbura,Buhunga,22088
Rukungiri,Rujumbura,Bwambara,28875
Rukungiri,Rujumbura,Nyakagyeme,31848
Rukungiri,Rujumbura,Ruhinda,25803
Rukungiri,Rukungiri Municipality,Eastern Divison,12285
Rukungiri,Rukungiri Municipality,Southern Division,9214
Rukungiri,Rukungiri Municipality,Western Division,13540
Serere,Kasilo,Bugondo,35478
Serere,Kasilo,Kadungulu,32917
Serere,Kasilo,Kasilo Town Council,3537
Serere,Kasilo,Labori,19877
Serere,Kasilo,Pingire,34516
Serere,Serere,Atiira,20406
Serere,Serere,Kateta,54381
Serere,Serere,Kyere,47898
Serere,Serere,Olio,28272
Serere,Serere,Serere Town Council,8621
Sheema,Sheema,Bugongi Town Council,11547
Sheema,Sheema,Kakindo Town Council,9945
Sheema,Sheema,Kasaana,17080
Sheema,Sheema,Kigarama,21126
Sheema,Sheema,Kitagata,18249
Sheema,Sheema,Kyangyenyi,9527
Sheema,Sheema,Masheruka,16461
Sheema,Sheema,Rugarama,9239
Sheema,Sheema,Shuuku,5405
Sheema,Sheema,Shuuku Town Council,8029
Sheema,Sheema Municipality,Kabwohe Division,19781
Sheema,Sheema Municipality,Kagango Division,25778
Sheema,Sheema Municipality,Kashozi Division,13866
Sheema,Sheema Municipality,Sheema Central Division,21310
Sironko,Budadiri,Budadiri Town Council,17001
Sironko,Budadiri,Bugitimwa,8496
Sironko,Budadiri,Buhugu,7432
Sironko,Budadiri,Bukhulo,18100
Sironko,Budadiri,Bukiise,20538
Sironko,Budadiri,Bukiyi,12967
Sironko,Budadiri,Bukyabo,7169
Sironko,Budadiri,Bukyambi,3519
Sironko,Budadiri,Bumalimba,16910
Sironko,Budadiri,Bumasifwa,10316
Sironko,Budadiri,Bunyafa,11757
Sironko,Budadiri,Busulani,7569
Sironko,Budadiri,Butandiga,5984
Sironko,Budadiri,Buteza,11274
Sironko,Budadiri,Buwalasi,13698
Sironko,Budadiri,Buwasa,8742
Sironko,Budadiri,Buyobo,13517
Sironko,Budadiri,Masaba,10166
Sironko,Budadiri,Nalusala,9381
Sironko,Budadiri,Sironko Town Council,17103
Sironko,Budadiri,Zesui,10782
Soroti,Soroti,Arapai,40428
Soroti,Soroti,Asuret,39638
Soroti,Soroti,Gweri,47898
Soroti,Soroti,Kamuda,37023
Soroti,Soroti,Katine,35072
Soroti,Soroti,Soroti,25116
Soroti,Soroti,Tubur,21973
Soroti,Soroti Municipality,Eastern Division,18760
Soroti,Soroti Municipality,Northern Division,19117
Soroti,Soroti Municipality,Western Division,11808
Ssembabule,Lwemiyaga,Lwemiyaga,73358
Ssembabule,Lwemiyaga,Ntuusi,47924
Ssembabule,Mawogola,Lugusulu,62522
Ssembabule,Mawogola,Lwebitakuli,123488
Ssembabule,Mawogola,Mateete,104142
Ssembabule,Mawogola,Mateete Town Council,20594
Ssembabule,Mawogola,Mijwala,59862
Ssembabule,Mawogola,Sembabule Town Council,13304
Tororo,Tororo,Kwapa,20160
Tororo,Tororo,Malaba Town Council,17968
Tororo,Tororo,Mella,19261
Tororo,Tororo,Merikit,25769
Tororo,Tororo,Molo,18803
Tororo,Tororo,Mukuju,38209
Tororo,Tororo,Osukuru,45884
Tororo,Tororo Municipality,Eastern Division,19074
Tororo,Tororo Municipality,Western Division,22942
Tororo,West Budama,Iyolwa,20295
Tororo,West Budama,Kirewa,28113
Tororo,West Budama,Kisoko,19014
Tororo,West Budama,Magola,17824
Tororo,West Budama,Mulanda,38798
Tororo,West Budama,Nabuyoga,30926
Tororo,West Budama,Nagongera,25522
Tororo,West Budama,Nagongera Town Council,12341
Tororo,West Budama,Paya,29487
Tororo,West Budama,Petta,15791
Tororo,West Budama,Rubongi,36527
Tororo,West Budama,Sop-Sop,14372
Wakiso,Busiro,Bussi,31654
Wakiso,Busiro,Kajjansi Town Council,185832
Wakiso,Busiro,Kakiri,78274
Wakiso,Busiro,Kakiri Town Council,38514
Wakiso,Busiro,Kasanje,58016
Wakiso,Busiro,Katabi Town Council,211338
Wakiso,Busiro,Kyengera Town Council,391062
Wakiso,Busiro,Masuliita,21428
Wakiso,Busiro,Masulita Town Council,29178
Wakiso,Busiro,Mende,52654
Wakiso,Busiro,Namayumba,36352
Wakiso,Busiro,Namayumba Town Council,30288
Wakiso,Busiro,Wakiso,353560
Wakiso,Busiro,Wakiso Town Council,120420
Wakiso,Entebbe Municipality,Division A,78968
Wakiso,Entebbe Municipality,Division B,61470
Wakiso,Kira Municipality,Bweyogerere Division,213684
Wakiso,Kira Municipality,Kira Division,120998
Wakiso,Kira Municipality,Namugongo Division,299632
Wakiso,Kyadondo,Kasangati Town Council,284722
Wakiso,Makindye Ssabagabo Municipality,Bunamwaya Division,145066
Wakiso,Makindye Ssabagabo Municipality,Masajja Division,234496
Wakiso,Makindye Ssabagabo Municipality,Ndejje Division,186982
Wakiso,Nansana Municipality,Busukuma Division,75460
Wakiso,Nansana Municipality,Gombe Division,153278
Wakiso,Nansana Municipality,Nabweru Division,212530
Wakiso,Nansana Municipality,Nansana Division,288980
